138 phage	468	350	V. cholerae El Tor	CP-T1	463	345	V. cholerae El Tor	83	83	alignments/350-345.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	94	94	alignments/175-178.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	91	91	alignments/175-174.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	91	91	alignments/175-179.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	58	58	alignments/175-180.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	58	58	alignments/175-182.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	58	58	alignments/175-181.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	87	87	alignments/170-171.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	59	59	alignments/170-176.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	59	59	alignments/170-184.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	59	59	alignments/170-177.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	43	42	alignments/170-173.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	41	41	alignments/170-180.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	41	41	alignments/170-182.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	41	41	alignments/170-181.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	39	39	alignments/170-178.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	49	49	alignments/170-174.xfma.png
SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	49	49	alignments/170-179.xfma.png
SPI-5 (cGI3)	177	166	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SPI-5 (cGI2)	176	165	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	99	99	alignments/166-165.xfma.png
SPI-5 (cGI3)	177	166	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SPI-4 (cGI2)	173	162	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	69	69	alignments/166-162.xfma.png
SPI-5 (cGI3)	177	166	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SPI4 (cGI2)	439	323	styphium	46	46	alignments/166-323.xfma.png
SPI-5 (cGI3)	177	166	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SPI4 (cGI1)	429	313	styphi	46	46	alignments/166-313.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/177-176.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/177-171.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	100	100	alignments/177-184.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	71	71	alignments/177-173.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	70	70	alignments/177-180.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	70	70	alignments/177-182.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	70	70	alignments/177-181.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	67	67	alignments/177-178.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	84	84	alignments/177-174.xfma.png
SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	84	84	alignments/177-179.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/178-176.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/178-171.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	100	100	alignments/178-184.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/178-173.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	97	97	alignments/178-174.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	97	97	alignments/178-179.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	63	63	alignments/178-180.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	63	63	alignments/178-182.xfma.png
SGI1-K7 (cGI1)	226	178	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	62	62	alignments/178-181.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/181-180.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	99	99	alignments/181-182.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/181-171.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/181-176.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	95	95	alignments/181-184.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	87	87	alignments/181-174.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	82	82	alignments/181-179.xfma.png
SGI2 (cGI2)	229	181	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	56	56	alignments/181-173.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/182-180.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/182-171.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/182-176.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	95	95	alignments/182-184.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	87	87	alignments/182-174.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	82	82	alignments/182-179.xfma.png
SGI2 (cGI3)	230	182	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	56	56	alignments/182-173.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/184-176.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/184-171.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	71	71	alignments/184-173.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	70	70	alignments/184-180.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	83	83	alignments/184-174.xfma.png
Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	83	83	alignments/184-179.xfma.png
SPI-2 (cGI1)	166	155	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	SPI-2 (cGI3)	168	157	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/155-157.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI2)	273	195	Escherichia coli NU14	SpLE1	363	247	ecoli_O157n	30	30	alignments/195-247.xfma.png
SPI-1 (cGI2)	164	153	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	SPI-1 (cGI3)	165	154	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/153-154.xfma.png
SPI-5 (cGI2)	176	165	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	SPI-4 (cGI2)	173	162	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	69	69	alignments/165-162.xfma.png
SPI-5 (cGI2)	176	165	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	SPI4 (cGI2)	439	323	styphium	46	46	alignments/165-323.xfma.png
SPI-5 (cGI2)	176	165	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	SPI4 (cGI1)	429	313	styphi	46	46	alignments/165-313.xfma.png
SPI-3 (cGI3)	171	160	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	SPI-3 (cGI2)	170	159	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/160-159.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	99	99	alignments/226-224.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	99	99	alignments/226-225.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	SaGIm	400	284	staaur_mu50	30	30	alignments/226-284.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	34	34	alignments/226-221.xfma.png
SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	100	100	alignments/179-174.xfma.png
SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/179-176.xfma.png
SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/179-171.xfma.png
SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	73	73	alignments/179-173.xfma.png
SGI1-K7 (cGI2)	227	179	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	69	69	alignments/179-180.xfma.png
SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	91	91	alignments/174-176.xfma.png
SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	91	91	alignments/174-171.xfma.png
SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	70	70	alignments/174-173.xfma.png
SGI1-K (cGI2)	207	174	Salmonella enterica subsp. enterica serovar Kentucky strain PU131 chromosome	SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	70	70	alignments/174-180.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI3)	304	220	Shigella flexneri strain 74-1170	Shigella pathogenicity island 3 (SHI-3) (cGI1)	302	218	Shigella flexneri strain NCTC 9728	99	99	alignments/220-218.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI3)	304	220	Shigella flexneri strain 74-1170	Shigella pathogenicity island 2 (SHI-2) (cGI2)	300	216	Shigella boydii strain NCTC 9733	77	77	alignments/220-216.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI3)	304	220	Shigella flexneri strain 74-1170	Shigella pathogenicity island 2 (SHI-2) (cGI3)	301	217	Shigella boydii strain ATCC 35964	77	77	alignments/220-217.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI1)	302	218	Shigella flexneri strain NCTC 9728	Shigella pathogenicity island 2 (SHI-2) (cGI2)	300	216	Shigella boydii strain NCTC 9733	48	48	alignments/218-216.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI1)	302	218	Shigella flexneri strain NCTC 9728	Shigella pathogenicity island 2 (SHI-2) (cGI3)	301	217	Shigella boydii strain ATCC 35964	48	48	alignments/218-217.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI2)	300	216	Shigella boydii strain NCTC 9733	Shigella pathogenicity island 2 (SHI-2) (cGI3)	301	217	Shigella boydii strain ATCC 35964	97	90	alignments/216-217.xfma.png
SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/180-171.xfma.png
SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	95	95	alignments/180-176.xfma.png
SGI2 (cGI1)	228	180	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	56	56	alignments/180-173.xfma.png
SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	68	67	alignments/171-176.xfma.png
SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	49	48	alignments/171-173.xfma.png
SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	31	30	alignments/171-70.xfma.png
SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	71	71	alignments/176-173.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	100	100	alignments/225-224.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	SaGIm	400	284	staaur_mu50	30	30	alignments/225-284.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	34	34	alignments/225-221.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	SaGIm	400	284	staaur_mu50	30	30	alignments/224-284.xfma.png
SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	34	34	alignments/224-221.xfma.png
PI 4	47	50	P. aeruginosa KRP1	PAGI-7	8	10	P. aeruginosa PSE9	100	100	alignments/50-10.xfma.png
GIt 5	49	52	P. aeruginosa KRP1	PAGI-9	10	12	P. aeruginosa PSE9	99	99	alignments/52-12.xfma.png
PI 8	52	55	P. aeruginosa KRP1	LESGI-1	25	27	P. aeruginosa LESB58	96	96	alignments/55-27.xfma.png
GIt 9	57	60	P. aeruginosa KRP1	LESGI-8	15	17	P. aeruginosa LESB58	100	100	alignments/60-17.xfma.png
GIt 10	58	61	P. aeruginosa KRP1	LESGI-9	16	18	P. aeruginosa LESB58	100	100	alignments/61-18.xfma.png
GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	LESGI-3	27	29	P. aeruginosa LESB58	46	46	alignments/56-29.xfma.png
GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	35	35	alignments/56-68.xfma.png
GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	31	31	alignments/56-71.xfma.png
GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	PAGI-15	67	70	P. aeruginosa ST235, isolate IH2	31	31	alignments/56-70.xfma.png
GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	PAGI-16	68	72	P. aeruginosa ST235, isolate KMU11	31	31	alignments/56-72.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	LESGI-3	27	29	P. aeruginosa LESB58	100	100	alignments/57-29.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	PAGI-2	2	34	Pseudomonas aeruginosa Strain C	99	99	alignments/57-34.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	44	44	alignments/57-68.xfma.png
GIt 11b	54	57	P. aeruginosa KRP1	PAGI-16	68	71	P. aeruginosa ST235, isolate BP14	44	44	alignments/57-71.xfma.png
